Adversario,Data,GolsBR,GolsAdv
Bósnia e Herzegovina ,2012-02-28,2,1
Dinamarca,2012-05-26,3,1
USA,2012-05-30,4,1
México,2012-06-03,2,0
Argentina,2012-07-09,3,4
Inglaterra,2012-07-20,2,0
Suécia,2012-08-15,3,0
África do Sul,2012-09-07,0,1
China,2012-09-10,8,0
Iraque,2012-10-11,6,0
Japao,2012-10-16,4,0
Colômbia,2012-11-14,1,1
Inglaterra,2013-02-06,1,2
Itália,2013-03-21,2,2
Rússia,2013-03-25,1,1
Bolívia,2013-04-06,4,0
Chile,2013-04-24,2,2
Inglaterra,2013-06-02,2,2
França,2013-06-09,3,0
Suíça,2013-08-14,0,1
Austrália,2013-09-07,6,0
Portugal,2013-09-10,3,1
Coreia do Sul,2013-10-12,0,2
Zâmbia,2013-10-15,2,0
Honduras,2013-11-16,5,0
Chile,2013-11-19,2,1
África do Sul,2014-03-05,5,0
Panamá,2014-06-03,5,0
Sérvia,2014-06-06,1,0
Croácia,2014-06-12,3,1
México,2014-06-17,0,0
Camarões,2014-06-23,4,1
Chile,2014-06-28,1,1
Colômbia,2014-07-04,2,1
Coréia do Norte,2010-06-15,2,1
Portugal,2010-06-25,0,0
Ivory Coast,2010-06-20,3,1
Chile,2010-06-28,3,0
Holanda,2010-07-02,1,2
Alemanha,2014-07-08,1,7
Holanda,2014-07-12,0,3
França,2015-03-26,3,1
Chile,2015-03-29,1,0
México,2015-06-07,2,0
Honduras,2015-06-10,1,0
Peru,2015-06-14,2,1
Colômbia,2015-06-17,0,1
Venezuela,2015-06-21,2,1
Paraguay,2015-06-27,1,1
Costa Rica,2015-09-05,1,0
USA,2015-09-08,4,1
Chile,2015-10-08,0,2
Venezuela,2015-10-13,3,1
Argentina,2015-11-13,1,1
Peru,2015-11-17,3,0
Uruguay,2016-03-25,2,2
Paraguay,2016-03-29,2,2
Equador,2016-06-04,0,0
Haiti,2016-06-08,7,1
Peru,2016-06-12,0,1
Equador,2016-09-01,3,0
Colômbia,2016-09-06,2,1
Bolívia,2016-10-06,5,0
Venezuela,2016-10-11,2,0
Argentina,2016-11-10,3,0
Peru,2016-11-16,2,0
Uruguay,2017-03-23,4,1
Paraguay,2017-03-28,3,0
Equador,2017-08-31,2,0
Colômbia,2017-09-05,1,1
Bolívia,2017-10-05,0,0
Chile,2017-10-10,3,0
Russia,2018-03-23,3,0
Alemanha,2018-03-27,1,0
Croácia,2018-06-03,2,0
Austria,2018-06-10,3,0
Suíça,2018-06-17,1,1
Costa Rica,2018-06-22,2,0
Serbia,2018-06-27,2,0
México,2018-07-02,2,0
Belgica,2018-07-06,1,2
USA,2018-09-07,2,0
